country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Ireland,2020,4937786,1.20 %,57072,23604,38.2,1.84,72,63.0 %,3111336,0.06 %,7794798739,124
Ireland,2025,5109284,0.69 %,34300,10000,40.2,1.84,74,64.5 %,3294830,0.06 %,8184437460,126
Ireland,2030,5248041,0.54 %,27751,10000,41.5,1.84,76,66.4 %,3484384,0.06 %,8548487400,126
Ireland,2035,5372137,0.47 %,24819,10000,42.3,1.84,78,68.7 %,3690823,0.06 %,8887524213,125
Ireland,2040,5489088,0.43 %,23390,10000,42.8,1.84,80,71.3 %,3914878,0.06 %,9198847240,125
Ireland,2045,5595132,0.38 %,21209,10000,43.4,1.84,81,74.0 %,4142854,0.06 %,9481803274,125
Ireland,2050,5677615,0.29 %,16497, ,44.2,1.84,82,76.7 %,4354062,0.06 %,9735033990,125
