country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Puerto Rico,2020,2860853,-3.29 %,-104133,-97986,44.5,1.22,323,N.A.,N.A.,0.04 %,7794798739,141
Puerto Rico,2025,2906644,0.32 %,9158,20006,45.5,1.22,328,N.A.,N.A.,0.04 %,8184437460,140
Puerto Rico,2030,2905352,-0.01 %,-258,10000,46.5,1.22,328,N.A.,N.A.,0.03 %,8548487400,142
Puerto Rico,2035,2799675,-0.74 %,-21135,-10000,47.7,1.22,316,N.A.,N.A.,0.03 %,8887524213,144
Puerto Rico,2040,2689202,-0.80 %,-22095,-7501,48.7,1.22,303,N.A.,N.A.,0.03 %,9198847240,145
Puerto Rico,2045,2573465,-0.88 %,-23147,-5001,49.7,1.22,290,N.A.,N.A.,0.03 %,9481803274,145
Puerto Rico,2050,2445386,-1.02 %,-25616, ,50.8,1.22,276,N.A.,N.A.,0.03 %,9735033990,147
